ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status
494,Telangana,Hyderabad,Locality A,Apartment,5,3564,300.24,8424.24,2004,Unfurnished,9,11,21,5,9,4,2,None,Clubhouse,West,Individual,Ready to Move
495,Maharashtra,Pune,Locality C,Villa,1,1685,96.4,5721.08,1995,Unfurnished,14,8,30,1,1,3,0,None,Gym,East,Builder,Under Construction
496,Tamil Nadu,Coimbatore,Locality B,Villa,4,2231,146.78,6578.99,2018,Semi-Furnished,7,22,7,8,6,2,2,Gated,Clubhouse,North,Individual,Ready to Move
497,Telangana,Hyderabad,Locality C,Apartment,5,2735,175.04,6400.18,2022,Semi-Furnished,1,17,3,7,9,2,1,Gated,Gym,West,Agent,Ready to Move
498,Telangana,Hyderabad,Locality B,Independent House,5,3282,150.59,4588.27,2003,Unfurnished,17,19,22,1,2,1,2,Gated,Pool,West,Individual,Ready to Move
499,Delhi,New Delhi,Locality B,Apartment,1,3256,260.45,7999.15,1990,Fully-Furnished,9,16,35,9,2,1,1,CCTV,Pool,East,Builder,Under Construction
500,Karnataka,Mysore,Locality A,Villa,2,849,60.33,7105.6,2002,Semi-Furnished,5,22,23,1,5,4,2,Guard,Clubhouse,South,Agent,Ready to Move
501,Tamil Nadu,Chennai,Locality B,Apartment,4,3847,365.02,9488.5,2023,Semi-Furnished,19,14,2,9,2,2,1,Guard,None,North,Individual,Under Construction
502,Telangana,Hyderabad,Locality B,Apartment,1,3149,256.3,8138.94,2018,Fully-Furnished,7,23,7,3,1,2,2,Guard,Pool,South,Individual,Under Construction
503,Tamil Nadu,Chennai,Locality B,Villa,1,2229,217.28,9747.88,2020,Fully-Furnished,9,20,5,3,9,1,0,CCTV,Pool,West,Builder,Under Construction
504,Karnataka,Mysore,Locality C,Villa,1,2968,120.46,4058.68,1999,Semi-Furnished,12,17,26,7,4,3,2,Gated,None,East,Builder,Ready to Move
505,Tamil Nadu,Chennai,Locality B,Villa,5,2486,238.16,9580.03,2020,Semi-Furnished,19,12,5,2,1,2,1,None,None,East,Agent,Ready to Move
506,Telangana,Hyderabad,Locality A,Independent House,1,1353,76.37,5644.5,2019,Fully-Furnished,15,18,6,3,9,2,0,Guard,None,West,Agent,Under Construction
507,Telangana,Hyderabad,Locality A,Apartment,3,1059,55.72,5261.66,2002,Unfurnished,16,10,23,4,4,3,0,CCTV,Gym,East,Builder,Ready to Move
508,Delhi,New Delhi,Locality B,Apartment,5,3428,147.27,4296.1,2011,Unfurnished,14,20,14,5,2,2,0,None,Clubhouse,West,Individual,Ready to Move
509,Tamil Nadu,Coimbatore,Locality C,Apartment,2,1262,68.88,5457.67,2001,Unfurnished,11,21,24,8,4,3,1,Guard,Pool,North,Builder,Ready to Move
510,Telangana,Hyderabad,Locality C,Villa,2,2050,118.67,5788.9,2004,Semi-Furnished,6,18,21,7,1,1,2,None,Gym,South,Agent,Ready to Move
511,Maharashtra,Pune,Locality B,Apartment,1,3659,293.95,8033.7,1997,Semi-Furnished,5,12,28,6,4,1,0,None,Pool,West,Individual,Under Construction
512,Tamil Nadu,Chennai,Locality B,Apartment,3,3252,146.35,4500.27,2007,Fully-Furnished,15,5,18,4,2,3,2,Guard,Gym,East,Agent,Ready to Move
513,Tamil Nadu,Chennai,Locality A,Independent House,1,2630,166.3,6323.1,2001,Unfurnished,9,11,24,3,5,3,1,CCTV,Pool,East,Agent,Ready to Move
514,Tamil Nadu,Coimbatore,Locality C,Independent House,5,2556,114.28,4471.22,1990,Unfurnished,13,12,35,3,4,1,1,Guard,Gym,East,Agent,Under Construction
515,Telangana,Hyderabad,Locality B,Villa,4,916,37.16,4056.52,2000,Unfurnished,12,15,25,9,4,4,1,None,Gym,South,Builder,Under Construction
516,Maharashtra,Nagpur,Locality A,Apartment,1,3175,278.5,8771.73,1997,Fully-Furnished,19,13,28,1,9,3,0,CCTV,Pool,South,Individual,Under Construction
517,Maharashtra,Pune,Locality B,Independent House,1,2221,214.55,9659.86,2008,Semi-Furnished,3,21,17,8,7,3,1,None,None,East,Builder,Ready to Move
518,Tamil Nadu,Coimbatore,Locality C,Independent House,1,2640,114.83,4349.65,2006,Unfurnished,2,23,19,1,1,2,2,None,Gym,West,Agent,Ready to Move
519,Karnataka,Bangalore,Locality A,Villa,4,2958,203.86,6891.92,1999,Unfurnished,18,19,26,1,1,3,2,CCTV,Clubhouse,North,Builder,Under Construction
520,Telangana,Hyderabad,Locality B,Apartment,4,1576,157.24,9976.98,2020,Semi-Furnished,10,20,5,6,4,3,2,Gated,Clubhouse,West,Builder,Ready to Move
521,Delhi,New Delhi,Locality A,Independent House,3,2277,117.21,5147.66,2001,Semi-Furnished,13,12,24,4,5,4,2,None,Pool,West,Agent,Under Construction
522,Karnataka,Mysore,Locality B,Independent House,1,3220,221.29,6872.21,2015,Fully-Furnished,10,15,10,2,2,3,1,Gated,Gym,North,Agent,Ready to Move
523,Maharashtra,Mumbai,Locality C,Independent House,3,1197,95.01,7937.22,2021,Semi-Furnished,13,5,4,5,4,2,0,None,None,East,Individual,Under Construction
524,Tamil Nadu,Coimbatore,Locality B,Villa,3,981,69.75,7109.94,2009,Semi-Furnished,19,13,16,6,4,1,1,None,Clubhouse,North,Agent,Under Construction
525,Telangana,Hyderabad,Locality C,Villa,5,3757,259.16,6898.08,2016,Unfurnished,14,22,9,3,3,1,1,None,None,South,Individual,Ready to Move
526,Telangana,Hyderabad,Locality B,Apartment,5,3615,313.8,8680.5,1992,Unfurnished,17,10,33,4,9,3,2,CCTV,None,East,Agent,Ready to Move
527,Karnataka,Mysore,Locality B,Independent House,5,756,66.97,8858.62,2004,Fully-Furnished,7,14,21,3,7,4,1,CCTV,Pool,North,Individual,Ready to Move
528,Tamil Nadu,Chennai,Locality B,Villa,3,2258,142.23,6298.99,2012,Unfurnished,4,15,13,7,8,2,0,Gated,Gym,North,Agent,Ready to Move
529,Maharashtra,Nagpur,Locality A,Villa,3,1536,111.28,7244.55,1998,Semi-Furnished,11,20,27,6,8,1,1,Gated,Gym,East,Builder,Ready to Move
530,Delhi,New Delhi,Locality A,Independent House,4,3090,211.37,6840.61,2003,Semi-Furnished,14,20,22,3,6,3,1,Guard,None,South,Agent,Ready to Move
531,Delhi,New Delhi,Locality B,Independent House,2,2714,136.1,5014.75,2011,Semi-Furnished,17,8,14,4,9,1,2,None,Clubhouse,South,Individual,Ready to Move
532,Maharashtra,Nagpur,Locality C,Independent House,1,3006,241.07,8019.72,2011,Semi-Furnished,14,19,14,6,8,3,0,CCTV,Gym,South,Builder,Under Construction
533,Karnataka,Mysore,Locality A,Villa,2,1213,96.55,7959.22,2022,Unfurnished,1,9,3,5,1,1,1,Guard,Gym,South,Individual,Ready to Move
534,Maharashtra,Nagpur,Locality A,Villa,1,555,33.56,6046.12,1990,Semi-Furnished,3,21,35,8,6,1,0,Guard,None,East,Individual,Under Construction
535,Karnataka,Bangalore,Locality C,Independent House,1,2475,162.9,6581.9,2001,Unfurnished,18,8,24,4,1,1,1,Gated,Pool,North,Builder,Under Construction
536,Maharashtra,Nagpur,Locality B,Apartment,4,746,32.81,4398.43,2013,Semi-Furnished,15,23,12,6,2,1,0,Guard,Pool,South,Individual,Under Construction
537,Delhi,New Delhi,Locality C,Independent House,1,2559,131.28,5130.31,2010,Fully-Furnished,11,20,15,3,5,1,1,None,None,South,Builder,Ready to Move
538,Maharashtra,Mumbai,Locality B,Apartment,3,3902,262.59,6729.7,2016,Fully-Furnished,4,20,9,6,5,3,0,None,Gym,South,Individual,Under Construction
539,Delhi,New Delhi,Locality C,Apartment,1,621,60.08,9674.65,2017,Semi-Furnished,17,12,8,6,7,2,0,CCTV,Gym,North,Individual,Ready to Move
540,Delhi,New Delhi,Locality B,Apartment,3,1712,137.73,8045.12,2013,Fully-Furnished,7,13,12,8,9,1,2,Guard,Gym,South,Builder,Under Construction
541,Tamil Nadu,Chennai,Locality A,Villa,2,1269,97.89,7713.61,1996,Semi-Furnished,15,18,29,1,1,2,2,None,Gym,East,Agent,Ready to Move
542,Delhi,New Delhi,Locality B,Villa,3,2681,147.44,5499.41,2001,Semi-Furnished,5,15,24,2,1,3,2,None,Clubhouse,West,Agent,Under Construction
543,Maharashtra,Mumbai,Locality C,Independent House,2,3482,229.9,6602.67,2010,Unfurnished,17,16,15,1,5,3,1,None,Pool,West,Agent,Ready to Move
544,Telangana,Hyderabad,Locality C,Villa,4,2029,131.78,6494.65,2004,Fully-Furnished,10,22,21,3,5,4,0,Gated,Clubhouse,West,Individual,Under Construction
545,Delhi,New Delhi,Locality A,Apartment,1,3039,285.07,9380.48,2014,Semi-Furnished,4,21,11,5,3,1,0,CCTV,Pool,East,Individual,Under Construction
546,Delhi,New Delhi,Locality B,Apartment,5,1994,170.76,8563.64,2020,Semi-Furnished,3,10,5,4,5,1,0,None,Clubhouse,North,Individual,Ready to Move
547,Telangana,Hyderabad,Locality A,Apartment,1,2998,292.73,9764.29,2011,Fully-Furnished,14,16,14,6,3,2,1,None,Gym,North,Builder,Ready to Move
548,Telangana,Hyderabad,Locality C,Independent House,3,554,42.57,7685.01,1994,Unfurnished,16,18,31,1,1,1,1,Gated,Gym,West,Builder,Under Construction
549,Karnataka,Bangalore,Locality C,Apartment,5,2002,133.74,6680.44,2017,Unfurnished,1,6,8,2,4,2,2,Gated,None,North,Agent,Ready to Move
550,Telangana,Hyderabad,Locality A,Apartment,5,3898,234.7,6021.09,1996,Unfurnished,8,19,29,2,8,1,0,None,None,South,Individual,Ready to Move
551,Maharashtra,Mumbai,Locality A,Apartment,2,2005,194.05,9678.27,2015,Unfurnished,18,24,10,4,7,2,0,CCTV,None,North,Builder,Ready to Move
552,Delhi,New Delhi,Locality C,Villa,2,3686,259.3,7034.86,2003,Unfurnished,18,13,22,3,8,2,0,Gated,Pool,East,Agent,Ready to Move
553,Delhi,New Delhi,Locality A,Apartment,3,3362,226.5,6736.95,2009,Unfurnished,1,6,16,5,7,4,1,Guard,Pool,West,Builder,Ready to Move
554,Karnataka,Bangalore,Locality C,Independent House,1,2873,249.3,8677.19,2009,Semi-Furnished,4,12,16,6,4,2,2,Gated,Clubhouse,North,Individual,Ready to Move
555,Maharashtra,Nagpur,Locality A,Independent House,4,672,48.19,7171.51,2021,Fully-Furnished,12,15,4,8,3,1,2,None,None,West,Individual,Under Construction
556,Telangana,Hyderabad,Locality B,Independent House,2,2889,179.21,6203.02,2022,Unfurnished,11,20,3,4,8,2,1,Guard,None,North,Agent,Ready to Move
557,Maharashtra,Mumbai,Locality C,Apartment,3,956,68.9,7207.33,2007,Unfurnished,12,10,18,9,8,4,0,Gated,Clubhouse,North,Agent,Under Construction
558,Karnataka,Bangalore,Locality A,Independent House,1,3397,337.71,9941.34,2014,Fully-Furnished,18,22,11,8,3,2,1,Gated,Clubhouse,North,Agent,Under Construction
559,Tamil Nadu,Chennai,Locality A,Apartment,1,1754,92.39,5267.25,2011,Unfurnished,13,12,14,5,9,4,2,None,Gym,West,Individual,Ready to Move
560,Delhi,New Delhi,Locality A,Independent House,1,2580,208.63,8086.3,2007,Fully-Furnished,4,17,18,8,9,1,1,Gated,None,South,Builder,Ready to Move
561,Tamil Nadu,Coimbatore,Locality A,Villa,2,3382,261.76,7739.89,2014,Fully-Furnished,5,21,11,7,6,2,0,Guard,Pool,West,Individual,Ready to Move
562,Telangana,Hyderabad,Locality A,Apartment,2,2805,137.02,4884.72,1990,Fully-Furnished,9,11,35,6,8,3,0,Guard,None,East,Individual,Ready to Move
563,Maharashtra,Pune,Locality C,Apartment,1,3833,160.55,4188.68,2005,Unfurnished,13,19,20,5,2,2,0,CCTV,None,East,Builder,Under Construction
564,Telangana,Hyderabad,Locality C,Independent House,2,653,55.48,8495.89,1992,Fully-Furnished,8,7,33,5,1,3,2,Gated,Pool,East,Builder,Ready to Move
565,Delhi,New Delhi,Locality C,Independent House,4,3044,177.69,5837.44,2008,Unfurnished,9,15,17,1,9,3,2,Guard,Gym,South,Individual,Under Construction
566,Tamil Nadu,Chennai,Locality B,Villa,5,1016,42.68,4201.28,2008,Fully-Furnished,9,17,17,7,8,4,2,CCTV,Clubhouse,West,Builder,Under Construction
567,Karnataka,Mysore,Locality B,Independent House,5,2386,116.14,4867.48,2002,Unfurnished,8,20,23,6,2,1,2,Gated,Pool,West,Builder,Under Construction
568,Delhi,New Delhi,Locality B,Villa,3,3268,237.07,7254.32,2000,Fully-Furnished,6,23,25,8,6,4,0,None,None,South,Individual,Under Construction
569,Karnataka,Bangalore,Locality A,Apartment,2,678,51.5,7596.58,1991,Unfurnished,4,13,34,9,4,4,1,Guard,None,South,Individual,Under Construction
570,Tamil Nadu,Coimbatore,Locality A,Independent House,1,3017,280.29,9290.3,2005,Fully-Furnished,7,21,20,6,2,4,2,CCTV,None,South,Agent,Ready to Move
571,Maharashtra,Mumbai,Locality A,Independent House,5,802,73.36,9147.5,1999,Semi-Furnished,3,17,26,5,3,3,2,Gated,Pool,South,Builder,Under Construction
572,Telangana,Hyderabad,Locality B,Villa,4,2828,115.33,4078.06,2012,Unfurnished,1,23,13,8,7,2,2,Gated,None,North,Builder,Ready to Move
573,Delhi,New Delhi,Locality A,Independent House,1,1831,73.32,4004.3,2012,Unfurnished,9,14,13,6,6,3,1,Gated,Clubhouse,West,Individual,Ready to Move
574,Telangana,Hyderabad,Locality A,Independent House,2,1871,103.69,5541.71,2007,Unfurnished,2,5,18,3,9,3,0,Guard,Gym,East,Agent,Ready to Move
575,Karnataka,Bangalore,Locality B,Independent House,2,1237,90.8,7340.39,1993,Semi-Furnished,6,19,32,3,3,3,0,Gated,Clubhouse,North,Builder,Under Construction
576,Maharashtra,Pune,Locality B,Villa,1,2241,166.06,7409.91,2002,Fully-Furnished,13,8,23,3,2,4,2,Gated,Pool,South,Individual,Ready to Move
577,Telangana,Hyderabad,Locality A,Apartment,3,1819,126.86,6973.92,2020,Semi-Furnished,12,14,5,2,7,1,1,CCTV,Pool,West,Agent,Ready to Move
578,Karnataka,Mysore,Locality B,Apartment,3,2611,221.8,8494.95,1991,Semi-Furnished,16,24,34,8,3,1,2,CCTV,None,North,Builder,Under Construction
579,Karnataka,Bangalore,Locality C,Villa,1,1997,141.3,7075.5,2005,Fully-Furnished,5,20,20,3,6,3,2,CCTV,None,North,Individual,Ready to Move
580,Delhi,New Delhi,Locality C,Villa,3,1696,154.21,9092.61,2004,Unfurnished,19,23,21,6,9,4,0,Guard,Clubhouse,North,Agent,Under Construction
581,Maharashtra,Nagpur,Locality A,Independent House,1,2384,211.38,8866.52,1992,Unfurnished,17,13,33,8,6,3,2,Gated,Pool,East,Individual,Ready to Move
582,Tamil Nadu,Coimbatore,Locality A,Villa,1,2393,158.36,6617.47,2006,Fully-Furnished,15,12,19,6,4,3,2,Gated,None,South,Individual,Ready to Move
583,Tamil Nadu,Coimbatore,Locality A,Apartment,1,2114,100.02,4731.34,1999,Unfurnished,17,21,26,6,8,3,1,None,None,North,Builder,Under Construction
584,Karnataka,Bangalore,Locality B,Independent House,5,1926,116.99,6074.38,2004,Semi-Furnished,16,6,21,3,7,2,2,Guard,None,East,Builder,Ready to Move
585,Karnataka,Mysore,Locality C,Apartment,4,3258,191.88,5889.6,2018,Semi-Furnished,19,9,7,4,7,4,0,Guard,Pool,East,Individual,Under Construction
586,Delhi,New Delhi,Locality B,Independent House,3,1645,156.1,9489.15,2002,Unfurnished,3,12,23,1,9,1,2,None,None,West,Builder,Ready to Move
587,Tamil Nadu,Chennai,Locality B,Apartment,5,2608,125.75,4821.89,2000,Semi-Furnished,2,7,25,6,5,4,1,None,Clubhouse,West,Agent,Ready to Move
588,Karnataka,Mysore,Locality B,Independent House,2,1164,94.56,8123.7,2012,Fully-Furnished,2,18,13,1,8,1,0,None,Gym,North,Agent,Under Construction
589,Karnataka,Mysore,Locality A,Apartment,2,3090,257.63,8337.66,2009,Fully-Furnished,14,6,16,7,3,4,1,Gated,None,North,Individual,Under Construction
590,Delhi,New Delhi,Locality C,Villa,3,3013,164.93,5473.79,1992,Semi-Furnished,12,11,33,9,5,2,1,Gated,Gym,West,Builder,Under Construction
591,Karnataka,Bangalore,Locality B,Apartment,1,3055,140.67,4604.52,2001,Fully-Furnished,12,17,24,3,1,4,2,None,Gym,East,Builder,Under Construction
592,Telangana,Hyderabad,Locality C,Independent House,1,632,37.71,5966.63,1993,Unfurnished,5,13,32,7,7,4,1,CCTV,Clubhouse,East,Individual,Under Construction
593,Maharashtra,Pune,Locality B,Independent House,3,1877,121.8,6489.08,2011,Semi-Furnished,15,14,14,2,7,1,1,Gated,Gym,East,Agent,Ready to Move
594,Telangana,Hyderabad,Locality B,Villa,2,3836,177.73,4633.08,2020,Semi-Furnished,13,20,5,4,3,1,1,None,Pool,North,Builder,Under Construction
595,Delhi,New Delhi,Locality B,Apartment,5,2891,274.09,9480.67,2015,Fully-Furnished,4,11,10,1,4,3,1,CCTV,Clubhouse,North,Builder,Under Construction
596,Karnataka,Mysore,Locality B,Independent House,2,1768,123.72,6997.71,2011,Unfurnished,19,20,14,6,1,2,2,CCTV,Gym,West,Builder,Ready to Move
597,Tamil Nadu,Chennai,Locality B,Villa,1,3198,133.45,4173.02,2023,Unfurnished,5,24,2,9,4,3,0,None,Pool,North,Agent,Under Construction
598,Tamil Nadu,Chennai,Locality B,Independent House,3,592,33.91,5727.28,1994,Fully-Furnished,15,23,31,3,6,2,1,CCTV,Gym,West,Agent,Under Construction
599,Delhi,New Delhi,Locality A,Independent House,3,3239,267.93,8272.05,2005,Semi-Furnished,17,13,20,4,6,3,2,Gated,Clubhouse,South,Agent,Under Construction
600,Delhi,New Delhi,Locality C,Independent House,3,3889,385.8,9920.18,2007,Fully-Furnished,6,5,18,1,4,4,1,None,Gym,East,Agent,Ready to Move
601,Maharashtra,Nagpur,Locality A,Apartment,3,2796,123.41,4413.94,2022,Unfurnished,10,10,3,5,8,4,2,Gated,Pool,North,Builder,Under Construction
602,Karnataka,Bangalore,Locality A,Apartment,5,3433,196.97,5737.5,2022,Semi-Furnished,5,18,3,8,6,3,1,Gated,None,North,Agent,Ready to Move
603,Karnataka,Bangalore,Locality C,Villa,4,2813,278.09,9885.92,2009,Fully-Furnished,12,14,16,5,1,4,1,Gated,Pool,North,Builder,Under Construction
604,Tamil Nadu,Chennai,Locality A,Independent House,1,770,38.57,5009.56,1995,Unfurnished,5,8,30,9,6,3,2,CCTV,Pool,East,Individual,Under Construction
605,Karnataka,Mysore,Locality C,Independent House,2,2315,149.79,6470.49,1992,Semi-Furnished,18,24,33,6,5,3,2,None,Gym,West,Builder,Under Construction
606,Maharashtra,Nagpur,Locality A,Independent House,5,2348,105.98,4513.6,2009,Semi-Furnished,14,15,16,3,7,4,0,Guard,Gym,South,Individual,Ready to Move
607,Telangana,Hyderabad,Locality A,Apartment,2,1187,83.78,7058.41,2022,Fully-Furnished,16,23,3,1,9,1,1,Guard,Pool,South,Agent,Ready to Move
608,Tamil Nadu,Coimbatore,Locality A,Apartment,2,1261,56.08,4447.06,2017,Semi-Furnished,3,12,8,5,4,2,0,CCTV,Pool,South,Individual,Ready to Move
609,Karnataka,Bangalore,Locality C,Independent House,5,2737,116.1,4241.98,2008,Fully-Furnished,10,22,17,6,6,3,2,CCTV,Gym,South,Builder,Ready to Move
610,Karnataka,Mysore,Locality B,Apartment,3,2378,218.82,9201.65,2013,Semi-Furnished,19,20,12,4,7,1,0,None,None,North,Agent,Ready to Move
611,Tamil Nadu,Coimbatore,Locality B,Apartment,2,2400,209.16,8714.85,2000,Unfurnished,11,20,25,4,8,4,0,None,Gym,East,Agent,Under Construction
612,Tamil Nadu,Chennai,Locality A,Villa,4,1554,143.46,9231.91,2005,Unfurnished,12,10,20,2,5,2,2,Guard,Clubhouse,North,Individual,Ready to Move
613,Delhi,New Delhi,Locality A,Villa,1,1356,120.36,8876.16,1995,Semi-Furnished,9,21,30,9,4,4,0,CCTV,Clubhouse,South,Agent,Ready to Move
614,Tamil Nadu,Coimbatore,Locality C,Independent House,1,3538,299.36,8461.27,2023,Fully-Furnished,7,12,2,3,2,2,1,Guard,Pool,North,Individual,Under Construction
615,Delhi,New Delhi,Locality B,Independent House,4,2378,213.5,8978.01,1996,Fully-Furnished,4,23,29,6,9,4,0,Gated,None,East,Builder,Under Construction
616,Delhi,New Delhi,Locality A,Apartment,5,2768,193.6,6994.22,1995,Semi-Furnished,12,10,30,7,7,1,2,Guard,Gym,West,Agent,Under Construction
617,Delhi,New Delhi,Locality C,Apartment,3,1226,58.86,4801.09,2005,Semi-Furnished,15,10,20,4,8,4,0,Guard,Pool,West,Agent,Ready to Move
618,Tamil Nadu,Chennai,Locality A,Independent House,1,3731,156.04,4182.28,2014,Fully-Furnished,15,19,11,6,5,4,1,CCTV,Clubhouse,North,Individual,Ready to Move
619,Telangana,Hyderabad,Locality B,Independent House,2,1292,65.61,5077.96,2003,Fully-Furnished,17,23,22,1,8,4,0,Guard,Gym,North,Agent,Ready to Move
620,Karnataka,Bangalore,Locality A,Villa,1,587,30.66,5222.66,2003,Unfurnished,7,19,22,7,8,1,2,None,Clubhouse,South,Agent,Ready to Move
621,Telangana,Hyderabad,Locality A,Apartment,4,1541,66.49,4314.43,2018,Unfurnished,15,8,7,8,6,1,1,Gated,Clubhouse,West,Individual,Ready to Move
622,Tamil Nadu,Chennai,Locality C,Apartment,2,1985,100.98,5087.31,2018,Semi-Furnished,4,5,7,4,8,1,1,Guard,Gym,North,Agent,Under Construction
623,Delhi,New Delhi,Locality A,Apartment,2,1618,129.29,7990.72,2011,Fully-Furnished,18,15,14,6,1,1,0,None,Clubhouse,South,Agent,Ready to Move
624,Telangana,Hyderabad,Locality A,Independent House,5,2083,202.79,9735.51,2004,Semi-Furnished,5,10,21,2,3,4,0,Guard,Pool,South,Individual,Ready to Move
625,Telangana,Hyderabad,Locality B,Apartment,5,3080,240.58,7810.94,2017,Semi-Furnished,12,5,8,7,5,3,0,None,None,North,Builder,Under Construction
626,Delhi,New Delhi,Locality A,Apartment,4,1755,124.29,7081.8,2018,Fully-Furnished,17,19,7,4,7,4,2,CCTV,Pool,West,Agent,Under Construction
627,Telangana,Hyderabad,Locality B,Apartment,5,526,42.0,7984.92,1996,Unfurnished,11,13,29,4,9,1,0,None,None,North,Builder,Under Construction
628,Telangana,Hyderabad,Locality A,Villa,2,1778,101.07,5684.26,2007,Semi-Furnished,19,7,18,2,5,2,0,Gated,None,West,Agent,Ready to Move
629,Maharashtra,Nagpur,Locality B,Independent House,2,1834,157.3,8576.79,2017,Unfurnished,13,15,8,5,3,3,2,Gated,Gym,North,Individual,Under Construction
630,Maharashtra,Nagpur,Locality C,Independent House,2,2018,140.91,6982.54,2014,Unfurnished,10,24,11,7,8,4,1,Gated,Clubhouse,East,Individual,Ready to Move
631,Maharashtra,Pune,Locality A,Independent House,3,2861,154.45,5398.32,2015,Semi-Furnished,1,15,10,8,6,4,2,None,Gym,East,Agent,Under Construction
632,Telangana,Hyderabad,Locality C,Villa,2,2095,184.33,8798.58,2008,Semi-Furnished,1,10,17,9,7,4,1,None,Gym,South,Agent,Ready to Move
633,Delhi,New Delhi,Locality A,Apartment,2,3398,238.85,7029.25,2002,Semi-Furnished,5,20,23,8,5,4,0,Guard,Gym,West,Builder,Under Construction
634,Tamil Nadu,Chennai,Locality B,Villa,3,2591,252.99,9764.37,1993,Unfurnished,2,7,32,2,2,1,2,Guard,Pool,East,Agent,Ready to Move
635,Telangana,Hyderabad,Locality B,Independent House,2,2790,113.79,4078.46,2008,Fully-Furnished,2,7,17,7,7,2,1,Guard,Clubhouse,West,Agent,Under Construction
636,Delhi,New Delhi,Locality C,Independent House,1,3727,268.43,7202.35,2002,Fully-Furnished,17,22,23,5,7,4,0,None,Clubhouse,West,Builder,Under Construction
637,Tamil Nadu,Chennai,Locality B,Villa,1,3349,219.97,6568.12,1991,Unfurnished,3,11,34,8,1,4,2,None,None,West,Agent,Ready to Move
638,Telangana,Hyderabad,Locality A,Independent House,2,2780,215.87,7765.04,2011,Fully-Furnished,11,12,14,6,9,1,0,Gated,Pool,West,Builder,Under Construction
639,Tamil Nadu,Chennai,Locality A,Villa,3,1373,124.55,9071.35,2014,Fully-Furnished,12,5,11,1,5,4,0,CCTV,None,West,Agent,Ready to Move
640,Maharashtra,Pune,Locality C,Villa,3,3759,190.08,5056.54,2009,Semi-Furnished,11,12,16,8,8,4,0,Gated,Gym,East,Agent,Ready to Move
641,Karnataka,Bangalore,Locality A,Independent House,4,1638,115.13,7028.44,1994,Fully-Furnished,2,16,31,4,4,3,2,Gated,None,South,Individual,Under Construction
642,Telangana,Hyderabad,Locality C,Independent House,2,974,51.43,5280.18,2014,Semi-Furnished,11,5,11,6,8,3,1,Gated,Gym,North,Builder,Ready to Move
643,Maharashtra,Nagpur,Locality A,Apartment,3,3784,277.65,7337.42,2005,Semi-Furnished,8,18,20,7,6,1,1,None,Clubhouse,South,Builder,Under Construction
644,Telangana,Hyderabad,Locality C,Villa,5,1037,82.47,7953.13,2020,Unfurnished,16,21,5,3,8,3,0,None,Pool,South,Builder,Under Construction
645,Karnataka,Bangalore,Locality B,Apartment,5,2605,223.66,8585.94,1997,Unfurnished,8,6,28,8,6,4,1,None,None,North,Agent,Under Construction
646,Delhi,New Delhi,Locality C,Apartment,4,2113,167.51,7927.73,1996,Semi-Furnished,6,20,29,4,5,3,2,None,None,East,Builder,Under Construction
647,Karnataka,Mysore,Locality B,Villa,5,3774,271.93,7205.48,2001,Semi-Furnished,13,11,24,8,1,1,2,None,Clubhouse,North,Individual,Under Construction
648,Tamil Nadu,Chennai,Locality C,Villa,4,3740,216.68,5793.69,2007,Semi-Furnished,10,9,18,4,9,2,0,Gated,Pool,North,Agent,Ready to Move
649,Maharashtra,Pune,Locality B,Villa,5,2593,113.75,4386.94,2015,Fully-Furnished,14,12,10,9,7,3,1,Guard,None,North,Individual,Ready to Move
650,Karnataka,Bangalore,Locality C,Independent House,5,1010,53.99,5345.55,2000,Fully-Furnished,15,14,25,2,5,3,1,Guard,Clubhouse,East,Individual,Under Construction
651,Maharashtra,Mumbai,Locality B,Villa,1,861,36.21,4205.05,2014,Fully-Furnished,12,11,11,8,6,2,2,None,Gym,East,Individual,Under Construction
652,Maharashtra,Nagpur,Locality A,Apartment,4,2568,158.97,6190.5,2003,Semi-Furnished,18,6,22,4,4,2,1,Guard,None,West,Builder,Under Construction
653,Karnataka,Mysore,Locality C,Apartment,1,603,42.72,7084.48,2014,Unfurnished,16,10,11,1,3,4,2,Guard,Gym,South,Agent,Under Construction
654,Maharashtra,Nagpur,Locality B,Villa,4,3185,148.09,4649.74,1995,Semi-Furnished,8,12,30,4,7,2,2,Gated,None,West,Individual,Under Construction
655,Telangana,Hyderabad,Locality C,Apartment,4,962,60.99,6340.4,2011,Semi-Furnished,1,20,14,3,6,3,0,CCTV,Gym,East,Builder,Ready to Move
656,Tamil Nadu,Chennai,Locality C,Independent House,2,2103,165.49,7869.44,2012,Fully-Furnished,9,15,13,5,2,2,1,CCTV,Gym,North,Individual,Ready to Move
657,Maharashtra,Mumbai,Locality A,Apartment,3,3708,270.57,7296.94,2019,Semi-Furnished,13,11,6,4,1,2,0,None,None,North,Agent,Ready to Move
658,Maharashtra,Pune,Locality A,Apartment,4,510,41.71,8179.04,2006,Fully-Furnished,4,20,19,3,2,1,2,Guard,None,North,Individual,Ready to Move
